,text,state,type_news,tags,n_of_tags,text_ml,numerical_sentiment,sentiment
10,"Nueva asignatura en el País Vasco (Historia reciente). La historia de ETA y sus 879 asesinatos que Urkullu llevará a las aulas: “Era una revolución juvenil”. Además, la Consejería de Educación, como refuerzo, ha elaborado un texto-manual, para profesores ",0,Fake,"['nueva', 'asignatura', 'vasco', 'historia', 'reciente', 'historia', 'asesinatos', 'urkullu', 'llevará', 'aulas', 'revolución', 'juvenil', 'además', 'consejería', 'educación', 'refuerzo', 'elaborado', 'texto', 'manual', 'profesores']",20,nueva asignatura vasco historia reciente historia asesinatos urkullu llevará aulas revolución juvenil además consejería educación refuerzo elaborado texto manual profesores,0.000329809292943776,Very Negative
11,"Conocidos políticos del Partido Popular, algunos incluso son responsabilidad de Gobierno, han firmado el manifiesto de la Fundación Francisco Franco contra de la exhumación del cadáver del dictador del Valle de los Caídos , y de la reforma de la Ley de Me",0,Fake,"['conocidos', 'políticos', 'partido', 'popular', 'incluso', 'responsabilidad', 'gobierno', 'firmado', 'manifiesto', 'fundación', 'francisco', 'franco', 'exhumación', 'cadáver', 'dictador', 'valle', 'caídos', 'reforma']",18,conocidos políticos partido popular incluso responsabilidad gobierno firmado manifiesto fundación francisco franco exhumación cadáver dictador valle caídos reforma,0.19409563406316566,Very Negative
12,"La cosa no pudo acabar de peor manera en el ""Orgullo Gay"" de Sevilla, dos hombres que participaron en la marcha, T.M y M.A, ambos de nacionalidad marroquí acorralaron a un niño de 12 años cuando la concentración se disolvió, y le obligaron a subir a un ap",0,Fake,"['acabar', 'manera', 'orgullo', 'sevilla', 'hombres', 'participaron', 'marcha', 'ambos', 'nacionalidad', 'marroquí', 'acorralaron', 'concentración', 'disolvió', 'obligaron', 'subir']",15,acabar manera orgullo sevilla hombres participaron marcha ambos nacionalidad marroquí acorralaron concentración disolvió obligaron subir,0.2998110478385631,Negative
13," Se buscan jóvenes aventureros que estén dispuestos a viajar alrededor del planeta para darle, precisamente, la vuelta al mundo. El propósito de esta aventura es conectar a las personas con la Agenda 2030: el compromiso acordado en 2015 por 193 países par",1,Real,"['buscan', 'jóvenes', 'aventureros', 'dispuestos', 'viajar', 'alrededor', 'planeta', 'darle', 'precisamente', 'vuelta', 'mundo', 'propósito', 'aventura', 'conectar', 'personas', 'agenda', 'compromiso', 'acordado', 'países']",19,buscan jóvenes aventureros dispuestos viajar alrededor planeta darle precisamente vuelta mundo propósito aventura conectar personas agenda compromiso acordado países,0.29733823041349605,Negative
14,Las incongruencias del procés: Ada Colau multa a un jubilado por colgar carteles para encontrar trabajo pero hace la vista gorda con los que pegan lazos amarillos por toda la ciudad. Miguel Romero vive en Barcelona y acaba de recibir la notificación de qu,0,Fake,"['incongruencias', 'procés', 'colau', 'multa', 'jubilado', 'colgar', 'carteles', 'encontrar', 'trabajo', 'vista', 'gorda', 'pegan', 'lazos', 'amarillos', 'ciudad', 'miguel', 'romero', 'barcelona', 'acaba', 'recibir', 'notificación']",21,incongruencias procés colau multa jubilado colgar carteles encontrar trabajo vista gorda pegan lazos amarillos ciudad miguel romero barcelona acaba recibir notificación,0.976536617207511,Very Positive
15,"El tipo lo tiene crudo. Se llama Lewis Williams, y durante cuatro largos años se ha dedicado a eyacular en el café que le servía cada mañana a su odiada jefa, Linda Moore, presidenta para más señas de una empresa de ingeniería en Newark, Estados Unidos. E",0,Fake,"['crudo', 'llama', 'lewis', 'williams', 'cuatro', 'largos', 'dedicado', 'eyacular', 'servía', 'mañana', 'odiada', 'linda', 'moore', 'presidenta', 'señas', 'empresa', 'ingeniería', 'newark', 'unidos']",19,crudo llama lewis williams cuatro largos dedicado eyacular servía mañana odiada linda moore presidenta señas empresa ingeniería newark unidos,0.14144557570662833,Very Negative
16,"Un joven de Bilbao consiguió sacar un 10 en la asignatura de matemáticas en una clase de bachillerato. Hasta ahí todo parece normal, sin embargo la noticia se hizo viral entre los alumnos del centro educativo. La razón es que ese alumno en concreto había ",0,Fake,"['joven', 'bilbao', 'consiguió', 'sacar', 'asignatura', 'matemáticas', 'clase', 'bachillerato', 'parece', 'normal', 'embargo', 'noticia', 'viral', 'alumnos', 'centro', 'educativo', 'razón', 'alumno', 'concreto']",19,joven bilbao consiguió sacar asignatura matemáticas clase bachillerato parece normal embargo noticia viral alumnos centro educativo razón alumno concreto,0.15277021990242498,Very Negative
17,"Adicto a la pornografía, cubría cada centímetro de su casa con publicaciones de contenido sexual, que le ocasionaron su propia muerte. Joji, un solitario japonés de 50 años, quizás pase a la historia por su insólita y morbosa causa de muerte. El individuo",0,Fake,"['adicto', 'pornografía', 'cubría', 'centímetro', 'publicaciones', 'contenido', 'sexual', 'ocasionaron', 'propia', 'muerte', 'solitario', 'japonés', 'quizás', 'historia', 'insólita', 'morbosa', 'causa', 'muerte', 'individuo']",19,adicto pornografía cubría centímetro publicaciones contenido sexual ocasionaron propia muerte solitario japonés quizás historia insólita morbosa causa muerte individuo,0.05481598803894842,Very Negative
18,"La propuesta sale adelante con los votos de ERC, Junts y En Comú Guanyem, pero no se ejecutará a la espera de un informe jurídicoCompartir en FacebookCompartir en TwitterOtrosCerrarCompartir en LinkedinCompartir en PinterestVer comentariosGuardarImprimirB",1,Real,"['propuesta', 'adelante', 'votos', 'junts', 'guanyem', 'ejecutará', 'espera', 'informe', 'pinterestver']",9,propuesta adelante votos junts guanyem ejecutará espera informe pinterestver,0.16550081113794582,Very Negative
19,"La Diputación de A Coruña conmemora mañana el Día del Libro distribuyendo 6.000 volúmenes de su fondo editorial en bibliotecas, mercados, centros de salud o escuelas en el marco del programa ""Libros para ser libres"". ""Queremos conmemorar el Día del Libro ",1,Real,"['diputación', 'coruña', 'conmemora', 'mañana', 'libro', 'distribuyendo', 'volúmenes', 'fondo', 'editorial', 'bibliotecas', 'mercados', 'centros', 'salud', 'escuelas', 'marco', 'programa', 'libros', 'libres', 'queremos', 'conmemorar', 'libro']",21,diputación coruña conmemora mañana libro distribuyendo volúmenes fondo editorial bibliotecas mercados centros salud escuelas marco programa libros libres queremos conmemorar libro,0.14361263133528365,Very Negative
20,"Un ejemplar de Rorcual Común , de unos 16 metros de longitud, ha muerto este miércoles tras quedar varada en la cala del Figo , ubicada en el concejo de Tapia de Casariego , en la costa occidental asturiana. El animal fue localizado por un pescador que di",1,Real,"['ejemplar', 'rorcual', 'común', 'metros', 'longitud', 'muerto', 'quedar', 'varada', 'ubicada', 'concejo', 'tapia', 'casariego', 'costa', 'occidental', 'asturiana', 'animal', 'localizado', 'pescador']",18,ejemplar rorcual común metros longitud muerto quedar varada ubicada concejo tapia casariego costa occidental asturiana animal localizado pescador,0.601626187555456,Positive
21,"Este viernes se ha conocido, según han confirmado varios periodistas que han informado de la detención y ha hecho público Antena 3, uno de los agentes de la Policía Nacional fue agredido por estos cuatro argelinos. Se desconoce si el agente sufrió algún t",0,Fake,"['conocido', 'confirmado', 'varios', 'periodistas', 'informado', 'detención', 'público', 'antena', 'agentes', 'policía', 'nacional', 'agredido', 'cuatro', 'argelinos', 'desconoce', 'agente', 'sufrió', 'algún']",18,conocido confirmado varios periodistas informado detención público antena agentes policía nacional agredido cuatro argelinos desconoce agente sufrió algún,0.26818055432817206,Negative
22,Hoy... En la frontera entre Estados Unidos y Canadá amaneció así. Surgieron dos soles siendo uno el Sol real y el otro la Luna este fenómeno es conocido como hunters Moon y sucede cuando la tierra cambia de Eje. La Luna y el sol nacen al mismo tiempo y la,0,Fake,"['frontera', 'unidos', 'canadá', 'amaneció', 'surgieron', 'soles', 'siendo', 'fenómeno', 'conocido', 'hunters', 'sucede', 'tierra', 'cambia', 'nacen', 'mismo', 'tiempo']",16,frontera unidos canadá amaneció surgieron soles siendo fenómeno conocido hunters sucede tierra cambia nacen mismo tiempo,0.08002428136489793,Very Negative
23,"Los vetos que el Gobierno de Mariano Rajoy impuso a la reforma de la Memoria Histórica tienen los días contados. Según fuentes de la dirección socialista, el nuevo presidente del Gobierno, Pedro Sánchez, entiende que no conlleva un impacto importante sobr",0,Fake,"['vetos', 'gobierno', 'mariano', 'rajoy', 'impuso', 'reforma', 'memoria', 'histórica', 'contados', 'fuentes', 'dirección', 'socialista', 'nuevo', 'presidente', 'gobierno', 'pedro', 'sánchez', 'entiende', 'conlleva', 'impacto', 'importante']",21,vetos gobierno mariano rajoy impuso reforma memoria histórica contados fuentes dirección socialista nuevo presidente gobierno pedro sánchez entiende conlleva impacto importante,0.23375630942819273,Negative
24,"Ada Colau busca el soberanismo catalán, el mando total, por la vía criminal, pero España, de momento, es mucha España. Nadie se explica que una bestia como “La Colau” ha llegado a la alcaldía de Barcelona. Pero si, en cierto modo, tiene una base lógica, l",0,Fake,"['colau', 'busca', 'soberanismo', 'catalán', 'mando', 'total', 'criminal', 'españa', 'momento', 'mucha', 'españa', 'nadie', 'explica', 'bestia', 'colau', 'llegado', 'alcaldía', 'barcelona', 'cierto', 'lógica']",20,colau busca soberanismo catalán mando total criminal españa momento mucha españa nadie explica bestia colau llegado alcaldía barcelona cierto lógica,0.01756614682226612,Very Negative
25,"Esta iniciativa, que no se realizaba desde el año 2012, es para la ministra Carcedo «una oportunidad de oro»El aumento de los casos de sida y otras infecciones de transmisión sexual en España preocuparon al Ministerio de Sanidad. Este jueves, en apoyo a l",1,Real,"['iniciativa', 'realizaba', 'ministra', 'carcedo', 'oportunidad', 'aumento', 'casos', 'infecciones', 'transmisión', 'sexual', 'españa', 'preocuparon', 'ministerio', 'sanidad', 'apoyo']",15,iniciativa realizaba ministra carcedo oportunidad aumento casos infecciones transmisión sexual españa preocuparon ministerio sanidad apoyo,0.6397333301253197,Positive
26," Esta región ha sido la que más ha triunfado en los World Cheese Awards de este año, colándose dentro de los 18 españoles presentes en el top 84 mundial Noticias relacionadas Los mejores quesos de Castilla-La Mancha en 2018 Cuatro quesos de Castilla-La ",1,Real,"['región', 'triunfado', 'world', 'cheese', 'awards', 'colándose', 'dentro', 'españoles', 'presentes', 'mundial', 'noticias', 'relacionadas', 'mejores', 'quesos', 'castilla', 'mancha', 'cuatro', 'quesos', 'castilla']",19,región triunfado world cheese awards colándose dentro españoles presentes mundial noticias relacionadas mejores quesos castilla mancha cuatro quesos castilla,0.30633590910660463,Negative
27,"Reenviado... Me acaban de llegar a casa por correo papeletas del PP, de Ciudadanos y de Vox y todas con la fecha cambiada, para que sean votos nulos. Pone 19 de Noviembre . No las uséis. Hay que ver a lo que recurre este gobierno!",0,Fake,"['reenviado', 'acaban', 'llegar', 'correo', 'papeletas', 'ciudadanos', 'fecha', 'cambiada', 'votos', 'nulos', 'noviembre', 'uséis', 'recurre', 'gobierno']",14,reenviado acaban llegar correo papeletas ciudadanos fecha cambiada votos nulos noviembre uséis recurre gobierno,0.08236032970886714,Very Negative
28,"Tristan y Blake, de 13 y 14 años, se pusieron en contacto con un amigo cuando empezaron a sentirse mal y le pidieron ayuda. Cuando los sanitarios llegaron al domicilio ya era tarde. Su madre les había envenenado. ",1,Real,"['tristan', 'blake', 'pusieron', 'contacto', 'amigo', 'empezaron', 'sentirse', 'pidieron', 'ayuda', 'sanitarios', 'llegaron', 'domicilio', 'tarde', 'madre', 'envenenado']",15,tristan blake pusieron contacto amigo empezaron sentirse pidieron ayuda sanitarios llegaron domicilio tarde madre envenenado,0.00023874024158398386,Very Negative
29,ÚLTIMA HORA El Hospital Clínico de Málaga deja sin quimioterapia a los pacientes por ‘falta de medicamentos,0,Fake,"['última', 'hospital', 'clínico', 'málaga', 'quimioterapia', 'pacientes', 'falta', 'medicamentos']",8,última hospital clínico málaga quimioterapia pacientes falta medicamentos,0.1278080632553763,Very Negative
30,"Ha ocurrido este sábado en la localidad de Villalba del Rey. El joven está en libertad provisional con cargosUn joven de 19 años ha sido detenido por ser el presunto autor de un delito de abuso sexual a una menor de 16 años , cometido en la localidad conq",1,Real,"['ocurrido', 'sábado', 'localidad', 'villalba', 'joven', 'libertad', 'provisional', 'cargosun', 'joven', 'detenido', 'presunto', 'autor', 'delito', 'abuso', 'sexual', 'menor', 'cometido', 'localidad']",18,ocurrido sábado localidad villalba joven libertad provisional cargosun joven detenido presunto autor delito abuso sexual menor cometido localidad,0.214018360722205,Negative
31,Socialdemócratas y ultraderecha votan juntos y tumban al canciller Sebastian Kurz,1,Real,"['ultraderecha', 'votan', 'juntos', 'tumban', 'canciller', 'sebastian']",6,ultraderecha votan juntos tumban canciller sebastian,0.49789225920557484,Neutral
32,"Spanish nationalism rabid that a Catalan company counts the votes. L'ESPANYOLISME RABIÓS QUE UNA EMPRESA CATALANA COMPTA ELS VOTS ""¿Llamas mínimo error a más de 40.000 votos nulos en sólo Valencia? ¿Más votos que personas en localidades? Una gran irregula",0,Fake,"['spanish', 'nationalism', 'rabid', 'catalan', 'company', 'counts', 'votes', 'espanyolisme', 'rabiós', 'empresa', 'catalana', 'compta', 'llamas', 'mínimo', 'error', 'votos', 'nulos', 'valencia', 'votos', 'personas', 'localidades', 'irregula']",22,spanish nationalism rabid catalan company counts votes espanyolisme rabiós empresa catalana compta llamas mínimo error votos nulos valencia votos personas localidades irregula,0.0034603707362369737,Very Negative
33,"El recientemente investido presidente de EE.UU., Donald Trump, ha remodelado el Despacho Oval de la Casa Blanca luego de su investidura este viernes. Entre otros cambios, ha decidido poner en su lugar el busto del ex primer ministro del Reino Unido, Winst",0,Fake,"['recientemente', 'investido', 'presidente', 'donald', 'trump', 'remodelado', 'despacho', 'blanca', 'luego', 'investidura', 'cambios', 'decidido', 'poner', 'lugar', 'busto', 'primer', 'ministro', 'reino', 'unido', 'winst']",20,recientemente investido presidente donald trump remodelado despacho blanca luego investidura cambios decidido poner lugar busto primer ministro reino unido winst,0.0642651733787531,Very Negative
34," Los hermanos Tanveer estaban cenando en casa cuando recibieron la llamada que iba a cambiarles la vida. Ocurrió el pasado domingo por la noche. Un amigo les pidió acudir a Badalona a plantar cara a un grupo de chicos, paquistaníes como ellos, con los qu",1,Real,"['hermanos', 'tanveer', 'cenando', 'recibieron', 'llamada', 'cambiarles', 'ocurrió', 'pasado', 'noche', 'amigo', 'pidió', 'acudir', 'badalona', 'plantar', 'grupo', 'chicos', 'paquistaníes']",17,hermanos tanveer cenando recibieron llamada cambiarles ocurrió pasado noche amigo pidió acudir badalona plantar grupo chicos paquistaníes,0.0009434929496852291,Very Negative
35,"Fue ingresado en psiquiátricos por su ambigüedad sexual y probó todas las drogas a su alcance. Una biografía repasa la vida salvaje de Lou Reed, un rockero de leyenda.",1,Real,"['ingresado', 'psiquiátricos', 'ambigüedad', 'sexual', 'probó', 'drogas', 'alcance', 'biografía', 'repasa', 'salvaje', 'rockero', 'leyenda']",12,ingresado psiquiátricos ambigüedad sexual probó drogas alcance biografía repasa salvaje rockero leyenda,0.49789225920557484,Neutral
36,"Los aditivos fosfatos se utilizan cada vez más en la carne para proteger el sabor y retener el agua, pero plantean ""graves preocupaciones respecto al impacto sanitario"" Los eurodiputados de la comisión de Sanidad del Parlamento Europeo trataron de bloquea",0,Fake,"['aditivos', 'fosfatos', 'utilizan', 'carne', 'proteger', 'sabor', 'retener', 'plantean', 'graves', 'preocupaciones', 'respecto', 'impacto', 'sanitario', 'eurodiputados', 'comisión', 'sanidad', 'parlamento', 'europeo', 'trataron', 'bloquea']",20,aditivos fosfatos utilizan carne proteger sabor retener plantean graves preocupaciones respecto impacto sanitario eurodiputados comisión sanidad parlamento europeo trataron bloquea,0.000737935671270376,Very Negative
37,"El fiscal general revierte una normativa de 2018 que lo contemplaba y limita así los motivos para otorgar ese estatusEl fiscal general de Estados Unidos, William Barr, ha revertido este lunes una normativa aprobada en 2018 que permitía pedir asilo a inmi",1,Real,"['fiscal', 'general', 'revierte', 'normativa', 'contemplaba', 'limita', 'motivos', 'otorgar', 'estatusel', 'fiscal', 'general', 'unidos', 'william', 'revertido', 'normativa', 'aprobada', 'permitía', 'pedir', 'asilo']",19,fiscal general revierte normativa contemplaba limita motivos otorgar estatusel fiscal general unidos william revertido normativa aprobada permitía pedir asilo,0.3523169311456134,Negative
38,"Rachel Johson, hermana del ex secretario de Exteriores Boris Johnson , es la candidata ""estrella"" del nuevo partido anti-Brexit, Change UK, a las elecciones europeas. Rachel, segunda de los cuatro hijos de Stanley Johnson, abandonó el Partido Conservador ",1,Real,"['rachel', 'johson', 'hermana', 'secretario', 'exteriores', 'boris', 'johnson', 'candidata', 'estrella', 'nuevo', 'partido', 'brexit', 'change', 'elecciones', 'europeas', 'rachel', 'segunda', 'cuatro', 'hijos', 'stanley', 'johnson', 'abandonó', 'partido', 'conservador']",24,rachel johson hermana secretario exteriores boris johnson candidata estrella nuevo partido brexit change elecciones europeas rachel segunda cuatro hijos stanley johnson abandonó partido conservador,0.14943359949247972,Very Negative
39,"El dictamen del abogado general de la UE, que abre la puerta a que los jueces anulen por abusivas hipotecas referenciadas al IRPH , abriendo de paso una nueva ventana por la que podrían salir miles de millones de euros de los bancos en indemnizaciones, ha",1,Real,"['dictamen', 'abogado', 'general', 'puerta', 'jueces', 'anulen', 'abusivas', 'hipotecas', 'referenciadas', 'abriendo', 'nueva', 'ventana', 'podrían', 'salir', 'miles', 'millones', 'euros', 'bancos', 'indemnizaciones']",19,dictamen abogado general puerta jueces anulen abusivas hipotecas referenciadas abriendo nueva ventana podrían salir miles millones euros bancos indemnizaciones,0.07955188992877447,Very Negative
40," Un informe del Servicio de Diagnóstico y Radiodiagnóstico del Consorcio Hospitalario Provincial de Castellón reconoce que con la asunción por parte del personal del hospital de las resonancias magnéticas, hasta 2014 contratadas con una firma privada , se",1,Real,"['informe', 'servicio', 'diagnóstico', 'consorcio', 'hospitalario', 'provincial', 'castellón', 'reconoce', 'asunción', 'parte', 'personal', 'hospital', 'resonancias', 'magnéticas', 'contratadas', 'firma', 'privada']",17,informe servicio diagnóstico consorcio hospitalario provincial castellón reconoce asunción parte personal hospital resonancias magnéticas contratadas firma privada,0.6986566676699371,Positive
41,"SUBEN LAS PENSIONES 1 EURO Y SUBEN EL RECIBO DE LA LUZ 20 EUROS, LLAMARLES POLÍTICOS, YO LOS LLAMO HIJOS DE .......",0,Fake,"['suben', 'pensiones', 'suben', 'recibo', 'euros', 'llamarles', 'políticos', 'llamo', 'hijos']",9,suben pensiones suben recibo euros llamarles políticos llamo hijos,0.20597118262303993,Negative
42,"Aguado considera que las peticiones de Monasterio no son «incompatibles» con las 155 medidas firmadas con el PPDespués de 60 días de negociaciones, la candidata popular a la presidencia de la Comunidad de Madrid, Isabel Díaz Ayuso , está, por fin, más cer",1,Real,"['aguado', 'considera', 'peticiones', 'monasterio', 'incompatibles', 'medidas', 'firmadas', 'ppdespués', 'negociaciones', 'candidata', 'popular', 'presidencia', 'comunidad', 'madrid', 'isabel', 'ayuso']",16,aguado considera peticiones monasterio incompatibles medidas firmadas ppdespués negociaciones candidata popular presidencia comunidad madrid isabel ayuso,0.9740997906387266,Very Positive
43,"¡¡¡MENSAJE MUY, MUY, MUY URGENTE E IMPORTANTE!!! ¡POR LO QUE LEEDLO ENTERO, Y REENVIARLO, POR FAVOR!, SI LO CONSIDERÁIS OPORTUNO. CREO QUE ES IMPORTANTE SU DIFUSIÓN PARA CONOCIMIENTO GENERAL. ¡¡HAN VUELTO A REALIZAR UN PUCHERAZO, TONGO, AMAÑO O MANIPULACI",0,Fake,"['mensaje', 'urgente', 'importante', 'leedlo', 'entero', 'reenviarlo', 'favor', 'consideráis', 'oportuno', 'importante', 'difusión', 'conocimiento', 'general', 'vuelto', 'realizar', 'pucherazo', 'tongo', 'amaño', 'manipulaci']",19,mensaje urgente importante leedlo entero reenviarlo favor consideráis oportuno importante difusión conocimiento general vuelto realizar pucherazo tongo amaño manipulaci,0.19778071565337216,Very Negative
44,Misuri puede convertirse en el único estado sin clínica donde poder abortar,1,Real,"['misuri', 'convertirse', 'único', 'clínica', 'poder', 'abortar']",6,misuri convertirse único clínica poder abortar,0.35951484627698543,Negative
45,"La prestigiosa Universidad de Oxford ha tomado una polémica decisión que no está dejando a nadie indiferente. A partir de ahora, y según informa el ‘Daily Mail’, las mujeres tendrán 15 minutos más para terminar los exámenes de informática y matemáticas. L",0,Fake,"['prestigiosa', 'universidad', 'oxford', 'tomado', 'polémica', 'decisión', 'dejando', 'nadie', 'indiferente', 'partir', 'informa', 'daily', 'mujeres', 'minutos', 'terminar', 'exámenes', 'informática', 'matemáticas']",18,prestigiosa universidad oxford tomado polémica decisión dejando nadie indiferente partir informa daily mujeres minutos terminar exámenes informática matemáticas,0.0002634549921298131,Very Negative
46,"El tercer lunes del mes de enero es el día más deprimente del año por las deudas navideñas, el clima y las promesas de año nuevo incumplidas, entre otros factores. Hoy, 15 de enero, es el día más deprimente del año. Y es que además de ser lunes, es un día",0,Fake,"['tercer', 'enero', 'deprimente', 'deudas', 'navideñas', 'clima', 'promesas', 'nuevo', 'incumplidas', 'factores', 'enero', 'deprimente', 'además']",13,tercer enero deprimente deudas navideñas clima promesas nuevo incumplidas factores enero deprimente además,0.6105706919633497,Positive
47,"Cantan villancincos en euskera pero donde decía “Jesús”, los niños dicen “Peru”. La escuela pública vasca no quiere ni oir mentar a Jesucristo en las aulas, ni siquiera en los villancicos. ¿Motivo? Podrían herir la sensibilidad de alumnos musulmanes o de ",0,Fake,"['cantan', 'villancincos', 'euskera', 'decía', 'jesús', 'niños', 'dicen', 'escuela', 'pública', 'vasca', 'quiere', 'mentar', 'jesucristo', 'aulas', 'siquiera', 'villancicos', 'motivo', 'podrían', 'herir', 'sensibilidad', 'alumnos', 'musulmanes']",22,cantan villancincos euskera decía jesús niños dicen escuela pública vasca quiere mentar jesucristo aulas siquiera villancicos motivo podrían herir sensibilidad alumnos musulmanes,0.00023751577717419335,Very Negative
48,"CCOO denuncia la ""delicada situación"" que atraviesan los trabajadores de los centros de menores de Lanzarote y Fuerteventura, sometidos a una situación de ""indefensión y vulnerabilidad"" en el desempeño de sus funciones laborales debidos a las agresiones v",1,Real,"['denuncia', 'delicada', 'situación', 'atraviesan', 'trabajadores', 'centros', 'menores', 'lanzarote', 'fuerteventura', 'sometidos', 'situación', 'indefensión', 'vulnerabilidad', 'desempeño', 'funciones', 'laborales', 'debidos', 'agresiones']",18,denuncia delicada situación atraviesan trabajadores centros menores lanzarote fuerteventura sometidos situación indefensión vulnerabilidad desempeño funciones laborales debidos agresiones,0.6772504462235098,Positive
